iter	Passed	Remaining
0	4	4184
1	9	4492
2	12	4079
3	15	3864
4	20	4151
5	25	4152
6	28	3994
7	32	4063
8	36	4058
9	40	4008
10	43	3953
11	49	4067
12	52	4001
13	56	3950
14	60	3983
15	66	4066
16	69	4011
17	72	3960
18	76	3937
19	80	3946
20	84	3933
21	87	3888
22	91	3871
23	95	3889
24	99	3897
25	103	3890
26	107	3880
27	112	3895
28	115	3862
29	118	3845
30	123	3862
31	126	3838
32	130	3827
33	133	3805
34	138	3816
35	141	3795
36	144	3770
37	148	3756
38	153	3776
39	157	3786
40	161	3773
41	167	3820
42	173	3856
43	176	3839
44	184	3922
45	188	3913
46	193	3916
47	196	3904
48	200	3888
49	203	3874
50	207	3853
51	212	3876
52	216	3864
53	219	3851
54	222	3827
55	227	3836
56	231	3823
57	233	3799
58	237	3783
59	241	3779
60	244	3768
61	247	3749
62	250	3732
63	255	3738
64	259	3726
65	262	3711
66	265	3694
67	267	3663
68	271	3660
69	274	3643
70	277	3625
71	280	3617
72	283	3603
73	286	3589
74	290	3582
75	293	3564
76	296	3549
77	299	3545
78	302	3531
79	306	3528
80	309	3516
81	313	3506
82	316	3494
83	319	3481
84	321	3457
85	325	3455
86	327	3433
87	330	3422
88	334	3422
89	337	3411
90	340	3401
91	344	3400
92	348	3394
93	352	3401
94	356	3396
95	364	3430
96	368	3433
97	373	3436
98	378	3443
99	382	3439
100	386	3443
101	389	3431
102	395	3444
103	400	3446
104	404	3450
105	408	3441
106	411	3433
107	415	3430
108	420	3433
109	423	3426
110	426	3415
111	429	3406
112	434	3413
113	437	3403
114	441	3395
115	443	3383
116	449	3388
117	452	3380
118	454	3366
119	458	3363
120	464	3377
121	468	3371
122	470	3353
123	473	3346
124	477	3341
125	480	3330
126	484	3331
127	486	3314
128	490	3311
129	494	3307
130	497	3297
131	500	3288
132	503	3285
133	506	3275
134	509	3266
135	512	3257
136	515	3250
137	518	3239
138	521	3231
139	524	3224
140	528	3217
141	530	3207
142	533	3198
143	536	3192
144	539	3181
145	542	3173
146	546	3172
147	549	3165
148	552	3158
149	556	3153
150	559	3146
151	563	3144
152	566	3135
153	569	3125
154	572	3123
155	575	3116
156	580	3117
157	583	3109
158	586	3100
159	589	3095
160	592	3089
161	595	3081
162	599	3076
163	601	3066
164	604	3060
165	608	3057
166	611	3047
167	613	3039
168	617	3035
169	619	3026
170	623	3024
171	626	3016
172	629	3011
173	633	3006
174	636	2999
175	641	3001
176	643	2994
177	646	2986
178	652	2990
179	654	2981
180	655	2967
181	659	2964
182	661	2954
183	664	2947
184	668	2943
185	670	2935
186	673	2929
187	676	2923
188	680	2918
189	682	2910
190	686	2907
191	688	2898
192	691	2892
193	695	2888
194	697	2880
195	700	2873
196	703	2868
197	707	2864
198	711	2865
199	714	2857
200	717	2850
201	720	2844
202	722	2838
203	726	2833
204	730	2832
205	732	2825
206	735	2818
207	739	2817
208	744	2816
209	748	2814
210	753	2815
211	757	2814
212	760	2810
213	763	2805
214	768	2804
215	770	2797
216	774	2794
217	777	2787
218	780	2784
219	785	2784
220	788	2778
221	792	2775
222	794	2769
223	799	2768
224	802	2765
225	809	2771
226	813	2769
227	816	2763
228	819	2759
229	822	2752
230	825	2748
231	830	2747
232	832	2740
233	835	2735
234	838	2730
235	841	2723
236	845	2721
237	848	2715
238	850	2709
239	854	2705
240	857	2699
241	859	2693
242	863	2689
243	866	2684
244	869	2679
245	872	2675
246	875	2670
247	880	2670
248	884	2667
249	887	2663
250	892	2662
251	895	2658
252	899	2656
253	903	2652
254	906	2648
255	912	2653
256	921	2665
257	925	2661
258	928	2657
259	932	2655
260	935	2650
261	938	2644
262	941	2639
263	945	2636
264	949	2632
265	952	2629
266	958	2632
267	964	2635
268	967	2630
269	970	2625
270	973	2619
271	977	2616
272	980	2612
273	983	2606
274	986	2601
275	990	2597
276	993	2594
277	996	2588
278	999	2582
279	1002	2576
280	1006	2575
281	1009	2569
282	1012	2565
283	1015	2559
284	1018	2553
285	1022	2552
286	1025	2546
287	1027	2540
288	1030	2535
289	1033	2531
290	1037	2526
291	1040	2521
292	1042	2515
293	1045	2510
294	1048	2506
295	1052	2504
296	1055	2498
297	1058	2493
298	1061	2488
299	1066	2489
300	1069	2483
301	1071	2476
302	1074	2472
303	1077	2467
304	1082	2465
305	1085	2461
306	1088	2456
307	1091	2452
308	1095	2449
309	1098	2444
310	1101	2440
311	1105	2437
312	1111	2439
313	1115	2436
314	1120	2435
315	1123	2432
316	1126	2428
317	1129	2421
318	1132	2416
319	1135	2412
320	1139	2410
321	1142	2405
322	1146	2402
323	1149	2397
324	1152	2393
325	1155	2389
326	1158	2383
327	1160	2377
328	1163	2373
329	1167	2369
330	1170	2364
331	1173	2361
332	1176	2355
333	1178	2350
334	1181	2346
335	1184	2340
336	1187	2335
337	1190	2331
338	1192	2325
339	1195	2320
340	1198	2315
341	1200	2310
342	1203	2304
343	1205	2299
344	1209	2295
345	1212	2291
346	1214	2286
347	1217	2281
348	1219	2275
349	1222	2270
350	1225	2266
351	1228	2260
352	1230	2254
353	1233	2250
354	1235	2245
355	1239	2242
356	1242	2238
357	1245	2233
358	1247	2228
359	1251	2225
360	1254	2220
361	1257	2216
362	1261	2213
363	1265	2211
364	1268	2207
365	1272	2203
366	1275	2199
